,continent,country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,Rest of the world,Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Asia,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06
2,Rest of the world,Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Europe,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Africa,Algeria,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,,,
5,Australia/Oceania,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Europe,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Africa,Angola,0.026527865,,,,,,,,,,,0.5,0.8,1,1.2,1.4,1.6,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2.1,2.1,2.1
8,North America,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,North America,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,South America,Argentina,0.02050798,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4
11,Asia,Armenia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
12,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Australia/Oceania,Australia,,,,,0.012682938,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
14,Europe,Austria,,,0.010187591,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4
15,Asia,Azerbaijan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1
16,North America,Bahamas,0.01,,,,,,,,,,,3.6,3.8,3.9,3.9,3.8,3.7,3.6,3.5,3.3,3.2,3.2,3.1,3,3,3,3,3,3.1,3.1,2.9,2.8,2.8
17,Asia,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Asia,Bangladesh,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
19,North America,Barbados,0.02767648,,,,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.3,0.9,0.9,0.9
20,Europe,Belarus,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4
21,Europe,Belgium,,,,0.014146531,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
22,North America,Belize,,,,,,,,,,,,0.5,0.7,1,1.2,1.4,1.5,1.6,1.8,1.9,2,2.2,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3
23,Africa,Benin,,,,,,0.011875633,,,,,,0.2,0.4,0.5,0.7,0.9,1.1,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2
24,North America,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Asia,Bhutan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3
26,South America,Bolivia,,,,,,,,,,,,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
27,Europe,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Africa,Botswana,0.105976053,,,,,,,,,,,3.5,5.1,7.3,10.1,13.3,16.6,19.7,22.2,24.1,25.3,26,26.3,26.3,26.1,25.8,25.5,25.3,25.1,24.9,24.1,23.7,23.4
29,South America,Brazil,0.09447913,,,,,,,,,,,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.45,0.3,0.3,0.3
30,North America,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Asia,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Europe,Bulgaria,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
33,Africa,Burkina Faso,0.01,,,,,,,,,,,3.9,4,3.9,3.8,3.6,3.4,3.2,2.9,2.7,2.5,2.3,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.2,1.2,1.2,1.1
34,Africa,Burundi,0.015913875,,,,,,,,,,,3.9,4.5,5.1,5.5,5.8,5.9,5.9,5.8,5.7,5.4,5.2,5,4.7,4.5,4.2,4,3.8,3.6,3.5,1.6,1.4,1.3
35,Asia,Cambodia,,,,,,,0.01,,,,,0.5,0.8,1,1.2,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.2,1.1,0.9,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6
